Symbol,Name,Date Public,Founded,MarketValue,PQ1EarningsDate,PQ1Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
PG,Procter & Gamble Company,11/05/1984,1837,"281,690.5",1/23/2020,4%,0.87%,1.04%,-0.20%,6.82%,10/22/2019,10%,-5.42%,-5.37%,0.52%,2.71%,7/30/2019,5%,0.21%,0.09%,4.76%,-4.07%,4/23/2019,3%,1.69%,3.18%,2.09%,1.58%,1/23/2019,3%,-5.16%,-0.29%,0.18%,-0.36%,10/19/2018,3%,2.45%,4.45%,3.79%,-2.57%
MA,Mastercard Incorporated Class A, 5/25/2006,1966,"271,389.4",1/29/2020,5%,1.93%,1.01%,-2.64%,1.10%,10/29/2019,7%,-2.65%,-0.87%,2.77%,0.12%,7/30/2019,4%,0.50%,1.41%,2.71%,-7.08%,4/30/2019,7%,2.20%,0.35%,4.91%,0.42%,1/31/2019,2%,1.04%,2.46%,1.18%,1.41%,10/30/2018,6%,-0.79%,3.96%,1.15%,1.71%
UNH,UnitedHealth Group Incorporated,11/05/1984,1977,"258,049.8",1/15/2020,3%,-3.89%,-5.05%,4.69%,-3.53%,10/15/2019,4%,1.78%,4.29%,-0.74%,8.60%,7/18/2019,4%,8.85%,-3.02%,1.45%,-8.37%,4/16/2019,4%,-7.70%,4.41%,4.09%,5.26%,1/15/2019,2%,-3.16%,2.48%,-5.20%,-9.52%,10/16/2018,4%,2.65%,-0.74%,2.63%,3.43%
T,AT&T Inc.,11/05/1984,1983,"247,249.3",1/29/2020,2%,1.58%,-0.63%,5.76%,4.29%,10/28/2019,1%,-3.58%,0.62%,-6.99%,2.10%,7/24/2019,0%,-5.28%,6.94%,1.67%,0.24%,4/24/2019,0%,-2.31%,0.02%,7.20%,-0.27%,1/30/2019,0%,-2.07%,-1.17%,2.95%,-3.59%,10/24/2018,-4%,3.37%,-3.48%,1.41%,1.79%
INTC,Intel Corporation,11/05/1984,1968,"232,797.1",1/24/2020,21%,5.14%,-4.62%,-3.51%,-2.72%,10/25/2019,15%,-0.24%,0.77%,-1.79%,-2.81%,7/26/2019,19%,7.09%,-7.43%,0.10%,10.06%,4/26/2019,2%,2.03%,-10.07%,-1.68%,2.81%,1/25/2019,5%,1.48%,2.06%,5.38%,0.86%,10/26/2018,22%,0.95%,0.61%,2.32%,1.11%
HD,"Home Depot, Inc.",11/05/1984,1978,"224,351.2",2/25/2020,8%,3.96%,2.83%,-8.87%,0.00%,11/19/2019,0%,0.16%,-5.06%,-0.79%,-0.46%,8/20/2019,3%,-1.53%,1.89%,0.58%,2.04%,5/21/2019,4%,-1.32%,3.98%,2.15%,0.04%,2/26/2019,4%,-0.40%,-2.34%,2.32%,3.90%,11/13/2018,11%,0.30%,-1.80%,1.35%,4.54%
VZ,Verizon Communications Inc.,11/05/1984,1983,"224,039.7",1/30/2020,-1%,1.08%,-4.06%,4.45%,9.11%,10/25/2019,1%,-1.18%,-4.12%,0.02%,1.17%,8/1/2019,2%,-3.30%,5.34%,0.13%,0.58%,4/23/2019,3%,-1.81%,0.78%,5.56%,-2.91%,1/29/2019,3%,-6.93%,-1.92%,2.37%,0.89%,10/23/2018,3%,4.38%,-0.55%,7.93%,-4.49%
BAC,Bank of America Corp,11/05/1984,1904,"210,881.3",1/15/2020,8%,-1.50%,-3.28%,1.41%,-6.26%,10/16/2019,4%,2.61%,2.88%,2.07%,-0.14%,7/17/2019,4%,-2.86%,5.21%,-9.34%,-0.13%,4/16/2019,7%,3.11%,0.70%,-4.20%,-1.88%,1/16/2019,11%,3.58%,-3.36%,-1.93%,1.04%,10/15/2018,6%,1.69%,-0.85%,0.98%,1.49%
KO,Coca-Cola Company,11/05/1984,1886,"208,101.2",1/30/2020,1%,2.06%,-1.59%,1.84%,-0.29%,10/18/2019,0%,-3.14%,-4.35%,-4.13%,2.10%,7/23/2019,3%,-1.86%,0.28%,2.28%,2.15%,4/23/2019,4%,1.41%,1.25%,1.74%,5.72%,2/14/2019,0%,1.26%,-2.66%,-0.49%,3.03%,10/30/2018,6%,7.29%,3.08%,-1.23%,2.87%
MRK,"Merck & Co., Inc.",11/05/1984,1891,"194,658.7",2/5/2020,1%,-1.11%,-5.12%,9.13%,-5.92%,10/29/2019,22%,-5.42%,-3.06%,2.18%,1.77%,7/30/2019,12%,1.65%,6.09%,1.29%,-7.70%,4/30/2019,16%,-4.61%,1.97%,4.32%,1.84%,2/1/2019,0%,-3.67%,1.69%,1.22%,-1.07%,10/25/2018,4%,4.79%,4.03%,5.08%,3.37%
DIS,Walt Disney Company,11/05/1984,1923,"185,093.6",2/5/2020,5%,1.49%,-1.94%,-8.56%,-10.05%,11/8/2019,13%,-0.53%,6.83%,-2.34%,-3.38%,8/7/2019,-22%,4.51%,-0.89%,0.43%,-5.08%,5/9/2019,2%,1.53%,0.93%,2.05%,-0.62%,2/6/2019,19%,-2.03%,0.87%,0.62%,-8.23%,11/9/2018,10%,-2.25%,-0.92%,0.74%,1.31%
PFE,Pfizer Inc.,11/05/1984,1849,"181,463.3",1/28/2020,-4%,2.38%,-2.69%,-1.76%,4.58%,10/29/2019,21%,0.22%,-5.15%,1.93%,-0.29%,7/29/2019,6%,1.17%,-10.18%,-1.53%,3.77%,4/30/2019,13%,-6.36%,3.74%,4.42%,-0.38%,1/29/2019,1%,-9.66%,-1.36%,0.67%,-2.91%,10/30/2018,4%,4.10%,-0.13%,2.24%,2.62%
CMCSA,Comcast Corporation Class A,11/05/1984,1963,"179,070.8",1/23/2020,3%,2.92%,-2.98%,2.89%,-1.09%,10/24/2019,7%,0.06%,-2.91%,-1.44%,-1.75%,7/25/2019,4%,1.52%,-2.24%,3.03%,3.95%,4/25/2019,12%,0.26%,1.82%,1.13%,-4.88%,1/23/2019,3%,-4.63%,-2.78%,1.78%,0.63%,10/25/2018,7%,4.20%,3.01%,3.77%,-0.42%
PEP,"PepsiCo, Inc.",11/05/1984,1965,"177,097.5",2/13/2020,1%,-0.24%,2.25%,5.62%,0.00%,10/3/2019,4%,3.18%,-3.75%,-1.20%,-4.85%,7/9/2019,3%,-2.00%,-1.71%,0.79%,3.64%,4/17/2019,6%,-0.87%,-0.74%,3.91%,2.58%,2/15/2019,0%,-1.72%,-0.51%,-0.10%,2.79%,10/2/2018,1%,-4.89%,2.60%,10.45%,1.36%
ADBE,Adobe Inc., 8/13/1986,1982,"162,136.4",3/13/2020,2%,1.04%,0.00%,0.00%,0.00%,12/13/2019,1%,-1.53%,2.09%,2.98%,2.29%,9/18/2019,4%,-2.71%,-0.34%,-1.32%,0.17%,6/19/2019,3%,-1.23%,3.02%,1.42%,-2.42%,3/15/2019,6%,1.09%,3.24%,-0.70%,3.97%,12/14/2018,-3%,2.90%,2.42%,2.95%,-2.65%
XOM,Exxon Mobil Corporation,11/05/1984,1882,"161,331.1",1/31/2020,-4%,-6.07%,-7.30%,-2.72%,-29.25%,11/1/2019,2%,-2.19%,-2.43%,-1.06%,-0.21%,8/2/2019,-8%,-1.84%,-3.52%,-0.98%,5.03%,4/26/2019,-22%,-0.50%,-3.07%,-1.37%,-1.10%,2/1/2019,19%,-1.14%,-0.35%,2.61%,-0.09%,11/2/2018,20%,-0.40%,-4.33%,0.83%,-2.68%
CSCO,"Cisco Systems, Inc.", 2/16/1990,1984,"159,626.7",2/13/2020,2%,2.81%,-3.51%,3.36%,0.00%,11/14/2019,4%,0.26%,-0.65%,-0.98%,3.87%,8/15/2019,2%,-4.10%,-0.58%,2.93%,-0.49%,5/16/2019,1%,-3.34%,-2.65%,0.15%,-1.33%,2/14/2019,1%,-1.08%,4.02%,3.16%,1.07%,11/15/2018,5%,-2.94%,1.39%,-0.31%,-0.80%
CVX,Chevron Corporation,11/05/1984,1906,"156,773.3",1/31/2020,-15%,-3.92%,-2.19%,-3.81%,-13.63%,11/1/2019,5%,-0.67%,1.97%,-3.13%,-0.33%,8/2/2019,29%,-1.82%,-2.79%,0.40%,2.80%,4/26/2019,1%,-7.35%,5.99%,-0.84%,0.83%,2/1/2019,4%,-0.51%,-1.88%,1.59%,2.03%,11/2/2018,18%,-4.32%,3.10%,-0.68%,-0.39%
ORCL,Oracle Corporation, 3/13/1986,1977,"153,742.6",3/13/2020,1%,-5.02%,0.00%,0.00%,0.00%,12/13/2019,2%,-0.77%,-4.51%,2.15%,-2.81%,9/12/2019,0%,2.78%,1.55%,4.10%,-4.65%,6/20/2019,8%,-2.46%,3.14%,-2.50%,-1.42%,3/15/2019,4%,0.87%,1.04%,-1.25%,-0.21%,12/18/2018,2%,1.15%,1.93%,0.81%,1.89%
NFLX,"Netflix, Inc.", 5/23/2002,1997,"147,568.6",1/22/2020,150%,-1.69%,12.94%,3.19%,6.81%,10/17/2019,42%,3.22%,-3.38%,-1.28%,7.11%,7/18/2019,7%,-3.90%,-0.42%,-3.97%,-2.44%,4/17/2019,32%,-3.71%,6.26%,-4.02%,-0.14%,1/18/2019,27%,22.55%,1.55%,0.85%,-2.53%,10/17/2018,31%,-4.32%,-13.75%,-4.83%,-0.69%
NVDA,NVIDIA Corporation, 1/22/1999,1993,"147,394.1",2/14/2020,13%,7.30%,3.83%,-12.87%,0.00%,11/15/2019,12%,2.31%,2.53%,5.08%,3.77%,8/16/2019,8%,-6.34%,3.74%,4.95%,-2.28%,5/17/2019,55%,-11.36%,-10.59%,3.02%,12.40%,2/15/2019,66%,5.85%,-1.09%,6.71%,6.65%,11/16/2018,15%,-7.03%,1.38%,-4.91%,-8.64%
ABT,Abbott Laboratories,11/05/1984,1888,"143,984.3",1/22/2020,0%,1.56%,-2.96%,-2.46%,1.26%,10/16/2019,0%,-1.75%,0.80%,-1.38%,-0.64%,7/17/2019,2%,-2.97%,1.67%,0.92%,-1.42%,4/17/2019,3%,-5.53%,7.50%,-1.57%,3.71%,1/23/2019,0%,0.08%,1.58%,0.53%,3.08%,10/17/2018,1%,-0.05%,1.66%,0.84%,4.15%
COST,Costco Wholesale Corporation,11/27/1985,1983,"133,476.4",3/6/2020,2%,7.67%,-2.91%,0.00%,0.00%,12/13/2019,1%,-1.66%,-0.06%,-0.42%,3.53%,10/4/2019,6%,3.95%,2.61%,-4.98%,0.71%,5/31/2019,3%,0.84%,3.50%,0.29%,3.53%,3/8/2019,19%,1.59%,2.53%,0.16%,-1.59%,12/14/2018,-2%,1.69%,2.43%,-0.58%,-2.63%
LLY,Eli Lilly and Company,11/05/1984,1876,"133,291.0",1/30/2020,14%,-0.27%,-3.47%,1.05%,19.59%,10/23/2019,5%,-1.16%,3.57%,-0.50%,4.10%,7/30/2019,3%,-0.01%,9.17%,-2.35%,-3.80%,4/30/2019,2%,-4.09%,1.82%,2.29%,-3.85%,12/19/2018,-2%,-1.47%,4.64%,-3.89%,1.01%,11/6/2018,3%,-1.10%,12.33%,-1.19%,2.75%
CRM,"salesforce.com, inc.", 6/23/2004,1999,"132,263.1",2/26/2020,18%,2.43%,-1.66%,-4.39%,0.00%,12/4/2019,13%,0.05%,0.62%,2.02%,6.71%,8/23/2019,39%,3.50%,-6.03%,3.41%,-2.06%,4/16/2019,52%,-2.12%,1.61%,-2.06%,2.50%,3/5/2019,27%,-1.08%,3.22%,-3.35%,-2.60%,11/28/2018,22%,-0.74%,3.71%,2.06%,4.55%
MCD,McDonald's Corporation,11/05/1984,1955,"132,041.0",1/29/2020,0%,2.20%,-1.90%,4.26%,1.25%,10/22/2019,-4%,-3.33%,-6.24%,-0.94%,0.60%,7/26/2019,0%,0.59%,6.02%,-0.61%,-3.48%,4/30/2019,-2%,1.60%,3.83%,0.81%,0.91%,1/30/2019,4%,-1.81%,-6.96%,4.22%,-1.49%,10/23/2018,5%,3.77%,2.59%,4.55%,-1.22%
PYPL,PayPal Holdings Inc, 7/06/2015,1998,"129,201.0",1/30/2020,3%,2.02%,0.03%,1.72%,11.09%,10/24/2019,17%,-6.21%,-6.83%,1.39%,0.26%,7/25/2019,24%,0.44%,-5.11%,2.28%,-0.77%,4/25/2019,15%,-1.44%,1.40%,1.73%,1.80%,1/31/2019,4%,-1.88%,4.73%,2.44%,1.64%,10/19/2018,7%,-3.63%,0.08%,1.18%,1.40%
WFC,Wells Fargo & Company,11/05/1984,1852,"126,645.5",1/14/2020,-47%,-4.93%,-3.86%,-2.21%,0.70%,10/15/2019,-26%,-2.04%,2.66%,2.02%,-2.40%,7/16/2019,11%,-3.93%,6.86%,-2.62%,-0.69%,4/12/2019,7%,-5.42%,2.55%,0.41%,-1.34%,1/15/2019,1%,1.87%,2.30%,-4.91%,0.43%,10/12/2018,-5%,3.76%,2.20%,-1.19%,3.39%
ABBV,"AbbVie, Inc.",12/10/2012,2011,"126,275.6",2/7/2020,1%,1.56%,3.87%,6.50%,0.12%,11/1/2019,1%,4.52%,6.57%,-1.76%,0.24%,7/26/2019,2%,-6.66%,0.22%,2.92%,-3.58%,4/25/2019,4%,-6.57%,0.04%,5.74%,-6.54%,1/25/2019,-2%,-4.36%,-2.84%,-2.57%,-2.37%,11/2/2018,6%,-9.73%,14.37%,0.29%,-2.09%
BMY,Bristol-Myers Squibb Company,11/05/1984,1933,"124,140.5",2/6/2020,38%,-3.19%,-2.04%,2.70%,-8.82%,10/31/2019,9%,8.48%,-0.06%,-4.22%,11.13%,7/25/2019,11%,-6.89%,6.29%,1.63%,-1.09%,4/25/2019,1%,-4.67%,5.33%,1.72%,-3.12%,1/24/2019,11%,1.52%,-0.40%,-1.47%,2.48%,10/25/2018,19%,-14.98%,3.46%,6.38%,-0.97%
PM,Philip Morris International Inc., 3/17/2008,1847,"123,695.0",2/6/2020,1%,-6.12%,4.16%,8.16%,-8.90%,10/17/2019,5%,-0.49%,0.64%,0.65%,-2.39%,7/18/2019,11%,1.19%,-4.66%,5.93%,-16.72%,3/4/2019,7%,4.71%,2.90%,-4.03%,-3.73%,2/7/2019,7%,-1.50%,10.25%,2.02%,2.51%,10/18/2018,12%,5.85%,1.99%,-2.67%,-0.15%
TMO,Thermo Fisher Scientific Inc.,11/05/1984,1960,"119,696.3",1/30/2020,0%,0.58%,2.06%,-1.24%,12.30%,10/23/2019,2%,-0.30%,-3.20%,3.14%,2.42%,7/24/2019,1%,-2.06%,-0.24%,-0.29%,3.82%,4/24/2019,3%,-6.62%,5.03%,1.09%,1.98%,1/30/2019,2%,-1.54%,-1.82%,3.58%,-0.17%,10/24/2018,3%,-2.14%,5.41%,0.60%,1.77%
AMGN,Amgen Inc.,11/05/1984,1980,"119,200.0",1/31/2020,7%,-6.28%,-1.49%,3.40%,-4.76%,10/30/2019,4%,0.67%,2.54%,4.71%,0.10%,7/31/2019,11%,-0.89%,11.14%,2.59%,-10.81%,5/1/2019,3%,-7.61%,-1.25%,1.63%,0.76%,1/30/2019,4%,-4.71%,-0.54%,-0.76%,-2.11%,10/31/2018,7%,-2.05%,-1.10%,4.91%,-0.16%
MDT,Medtronic Plc,11/05/1984,1949,"119,033.5",2/18/2020,4%,-3.30%,-0.05%,-11.53%,0.00%,11/19/2019,2%,2.31%,0.93%,-0.95%,-0.81%,8/20/2019,7%,1.69%,-0.66%,-0.23%,0.64%,5/23/2019,5%,0.39%,4.02%,0.13%,-2.33%,2/19/2019,4%,1.78%,0.00%,-1.28%,-3.70%,11/20/2018,6%,0.22%,2.26%,1.81%,-11.20%
NKE,"NIKE, Inc. Class B",11/05/1984,1964,"117,705.0",12/20/2019,21%,2.75%,1.20%,-0.01%,-4.24%,9/25/2019,23%,1.16%,4.02%,-3.17%,-5.48%,6/28/2019,-6%,-0.60%,3.94%,-2.31%,-2.37%,3/22/2019,5%,-0.31%,0.57%,1.71%,-5.22%,12/21/2018,14%,-2.20%,-0.65%,2.33%,-0.80%,9/26/2018,7%,2.03%,-6.47%,0.90%,2.20%
NEE,"NextEra Energy, Inc.",11/05/1984,1984,"108,335.3",1/24/2020,-4%,5.59%,1.16%,4.58%,10.32%,10/22/2019,5%,-2.25%,-6.55%,0.85%,0.84%,7/24/2019,2%,-1.37%,5.81%,2.39%,-2.49%,4/23/2019,7%,-0.43%,1.67%,5.32%,4.13%,1/25/2019,-3%,2.17%,3.29%,-0.68%,1.25%,10/23/2018,1%,4.07%,-0.07%,8.26%,0.01%
C,Citigroup Inc.,10/29/1986,1812,"107,092.5",1/14/2020,19%,-0.35%,-6.38%,0.42%,-6.93%,10/15/2019,6%,1.96%,1.18%,0.80%,-1.12%,7/15/2019,8%,2.17%,-0.17%,-6.04%,-2.34%,4/15/2019,4%,5.64%,3.53%,-4.08%,-0.56%,1/14/2019,6%,5.11%,4.93%,-4.91%,0.90%,10/12/2018,3%,0.11%,-4.21%,-2.27%,0.61%
AMT,American Tower Corporation, 2/25/1998,1995,"105,851.5",2/25/2020,23%,5.61%,6.83%,-2.00%,0.00%,10/31/2019,18%,-4.05%,-4.93%,-0.48%,-1.66%,7/31/2019,8%,-0.63%,7.98%,3.39%,-9.20%,5/3/2019,4%,0.25%,7.70%,7.33%,-3.10%,2/27/2019,-18%,-2.62%,7.33%,4.26%,-1.79%,10/30/2018,3%,10.91%,-1.38%,-0.50%,6.32%
ACN,Accenture Plc Class A, 7/19/2001,1989,"105,741.1",12/19/2019,5%,0.49%,-0.79%,-2.02%,2.29%,9/26/2019,1%,0.61%,-3.05%,-1.80%,-0.39%,6/27/2019,2%,-1.41%,4.08%,-0.09%,0.67%,3/28/2019,10%,2.04%,-0.82%,-0.42%,-1.80%,12/20/2018,5%,-1.04%,-4.27%,1.90%,1.71%,9/27/2018,2%,1.28%,-1.89%,1.36%,0.97%
HON,Honeywell International Inc.,11/05/1984,1885,"105,675.8",1/31/2020,1%,-1.17%,-0.55%,-0.72%,-9.03%,10/17/2019,3%,-2.01%,1.76%,1.96%,-2.15%,7/18/2019,1%,-4.97%,-1.16%,-0.84%,-1.97%,4/18/2019,5%,0.56%,1.27%,0.72%,1.90%,2/1/2019,1%,0.64%,3.24%,0.04%,0.52%,10/19/2018,2%,-1.27%,-3.63%,1.43%,-1.75%
UNP,Union Pacific Corporation,11/05/1984,1969,"99,294.1",1/23/2020,-1%,-1.06%,-1.26%,-2.21%,-3.30%,10/17/2019,-4%,3.84%,-0.27%,3.58%,-0.84%,7/18/2019,3%,-4.34%,1.77%,-3.72%,-3.23%,4/18/2019,3%,-1.25%,0.06%,0.23%,-0.80%,1/24/2019,3%,-0.21%,-1.73%,1.92%,-1.71%,10/25/2018,3%,-4.41%,1.86%,0.34%,2.82%
TXN,Texas Instruments Incorporated,11/05/1984,1930,"99,008.0",1/23/2020,9%,0.37%,-1.97%,-2.87%,-1.15%,10/23/2019,5%,-0.76%,-1.22%,-4.63%,3.48%,7/24/2019,12%,2.75%,-1.95%,2.85%,-1.23%,4/24/2019,12%,-0.41%,-3.35%,-4.47%,3.48%,1/24/2019,3%,-1.41%,-0.77%,-0.01%,-0.61%,10/24/2018,3%,2.25%,-0.27%,4.59%,-3.35%
DHR,Danaher Corporation,11/05/1984,1969,"98,441.0",1/30/2020,3%,2.63%,-6.19%,0.58%,6.89%,10/24/2019,1%,-2.04%,-4.02%,5.78%,2.04%,7/18/2019,3%,-3.56%,-0.61%,1.30%,0.49%,4/18/2019,5%,-5.71%,4.78%,0.20%,4.57%,1/29/2019,1%,-1.11%,1.74%,11.63%,0.61%,10/18/2018,2%,0.57%,0.33%,1.30%,6.80%
IBM,International Business Machines Corporation,11/05/1984,1911,"95,903.6",1/22/2020,0%,1.41%,8.19%,-4.50%,-4.09%,10/17/2019,1%,-3.29%,-1.75%,-1.85%,-1.20%,7/18/2019,3%,1.59%,1.80%,-8.78%,-0.54%,4/17/2019,1%,0.03%,-0.25%,-1.46%,-2.22%,1/23/2019,1%,0.37%,-0.96%,-0.60%,-0.93%,10/17/2018,1%,-1.79%,-10.39%,4.29%,-0.33%
BA,Boeing Company,11/05/1984,1916,"95,848.5",1/29/2020,-277%,-3.81%,4.59%,-5.35%,-29.59%,10/23/2019,-31%,-13.55%,1.61%,3.53%,-7.20%,7/24/2019,-13%,4.70%,-3.85%,1.04%,4.14%,4/24/2019,-1%,-1.55%,-2.58%,-1.28%,-0.32%,1/30/2019,20%,1.82%,3.13%,5.81%,-16.04%,10/24/2018,3%,-4.38%,-1.02%,-9.01%,2.41%
CHTR,"Charter Communications, Inc. Class A",12/02/2009,1993,"95,369.0",1/31/2020,31%,-4.19%,-1.56%,1.39%,-8.64%,10/25/2019,4%,-0.52%,-0.80%,-0.92%,-0.90%,7/26/2019,-23%,-1.39%,-1.38%,3.89%,4.20%,4/30/2019,-16%,2.91%,4.14%,2.41%,0.57%,1/31/2019,-12%,-4.17%,1.54%,-0.74%,2.38%,10/26/2018,101%,5.04%,4.16%,1.24%,1.04%
LIN,Linde plc, 6/17/1992,2017,"94,067.5",2/13/2020,3%,1.00%,-1.57%,1.50%,0.00%,11/12/2019,9%,1.14%,-1.95%,0.14%,0.75%,8/5/2019,5%,-6.17%,-3.80%,-0.45%,-0.83%,5/10/2019,5%,0.18%,5.30%,4.50%,-0.14%,3/1/2019,-4%,2.16%,4.46%,-0.70%,-0.21%,11/9/2018,1%,-3.68%,1.09%,1.35%,3.80%
AVGO,Broadcom Inc., 8/06/2009,1961,"93,561.2",3/13/2020,-2%,-3.53%,0.00%,0.00%,0.00%,12/13/2019,0%,2.42%,-1.81%,-3.67%,3.28%,9/13/2019,1%,4.59%,-3.68%,2.17%,1.38%,6/14/2019,0%,5.96%,6.95%,-2.48%,4.41%,3/15/2019,6%,-3.49%,3.17%,2.71%,-2.64%,12/7/2018,5%,-2.37%,15.83%,-10.29%,6.50%
